shop,date,weather,temperature,customers
0,2017-01-01,cloudy,9,0
1,2017-01-01,cloudy,5,0
2,2017-01-01,cloudy,3,0
3,2017-01-01,cloudy,8,0
4,2017-01-01,rainy,9,0
5,2017-01-01,rainy,5,0
6,2017-01-01,sunny,3,0
7,2017-01-01,cloudy,0,0
8,2017-01-01,rainy,8,0
9,2017-01-01,rainy,3,0
10,2017-01-01,rainy,3,0
11,2017-01-01,rainy,4,0
12,2017-01-01,stormy,6,0
13,2017-01-01,sunny,1,0
14,2017-01-01,rainy,6,0
15,2017-01-01,rainy,3,0
16,2017-01-01,cloudy,4,0
17,2017-01-01,rainy,5,0
18,2017-01-01,rainy,0,0
19,2017-01-01,cloudy,5,0
20,2017-01-01,rainy,7,0
21,2017-01-01,stormy,-1,0
22,2017-01-01,sunny,2,0
23,2017-01-01,stormy,1,0
24,2017-01-01,stormy,6,0
25,2017-01-01,sunny,5,0
26,2017-01-01,stormy,8,0
27,2017-01-01,sunny,6,0
28,2017-01-01,rainy,1,0
29,2017-01-01,rainy,-2,0
30,2017-01-01,rainy,5,0
31,2017-01-01,stormy,1,0
32,2017-01-01,rainy,9,0
33,2017-01-01,rainy,1,0
34,2017-01-01,stormy,-2,0
35,2017-01-01,sunny,8,0
36,2017-01-01,rainy,8,0
37,2017-01-01,rainy,9,0
38,2017-01-01,cloudy,9,0
39,2017-01-01,cloudy,3,0
40,2017-01-01,stormy,-1,0
41,2017-01-01,rainy,1,0
42,2017-01-01,rainy,5,0
43,2017-01-01,rainy,4,0
44,2017-01-01,rainy,11,0
45,2017-01-01,cloudy,4,0
46,2017-01-01,rainy,5,0
47,2017-01-01,rainy,7,0
48,2017-01-01,cloudy,2,0
49,2017-01-01,rainy,1,0
50,2017-01-01,rainy,7,0
51,2017-01-01,stormy,5,0
52,2017-01-01,rainy,7,0
53,2017-01-01,rainy,-4,0
54,2017-01-01,rainy,3,0
55,2017-01-01,rainy,8,0
56,2017-01-01,stormy,4,0
57,2017-01-01,cloudy,3,0
58,2017-01-01,cloudy,-1,0
59,2017-01-01,sunny,6,0
60,2017-01-01,sunny,3,0
61,2017-01-01,rainy,5,0
62,2017-01-01,cloudy,3,0
63,2017-01-01,cloudy,8,0
64,2017-01-01,rainy,4,0
65,2017-01-01,rainy,4,0
66,2017-01-01,rainy,2,0
67,2017-01-01,rainy,-1,0
68,2017-01-01,rainy,6,0
69,2017-01-01,stormy,4,0
70,2017-01-01,sunny,6,0
71,2017-01-01,rainy,8,0
72,2017-01-01,rainy,2,0
73,2017-01-01,stormy,3,0
74,2017-01-01,stormy,1,0
75,2017-01-01,stormy,3,0
76,2017-01-01,rainy,2,0
77,2017-01-01,cloudy,10,0
78,2017-01-01,cloudy,3,0
79,2017-01-01,cloudy,7,0
80,2017-01-01,sunny,5,0
81,2017-01-01,sunny,7,0
82,2017-01-01,sunny,6,0
83,2017-01-01,stormy,-4,0
84,2017-01-01,cloudy,3,0
85,2017-01-01,stormy,9,0
86,2017-01-01,stormy,7,0
87,2017-01-01,rainy,6,0
88,2017-01-01,rainy,4,0
89,2017-01-01,stormy,5,0
90,2017-01-01,sunny,9,0
91,2017-01-01,rainy,2,0
92,2017-01-01,sunny,7,0
93,2017-01-01,rainy,6,0
94,2017-01-01,stormy,3,0
95,2017-01-01,rainy,2,0
96,2017-01-01,sunny,6,0
97,2017-01-01,rainy,6,0
98,2017-01-01,cloudy,5,0
99,2017-01-01,stormy,5,0
100,2017-01-01,sunny,7,0
101,2017-01-01,rainy,12,0
102,2017-01-01,sunny,4,0
103,2017-01-01,rainy,8,0
104,2017-01-01,stormy,6,0
105,2017-01-01,stormy,6,0
106,2017-01-01,stormy,7,0
107,2017-01-01,rainy,6,0
108,2017-01-01,rainy,8,0
109,2017-01-01,sunny,6,0
110,2017-01-01,sunny,10,0
111,2017-01-01,stormy,7,0
112,2017-01-01,rainy,2,0
113,2017-01-01,stormy,0,0
114,2017-01-01,rainy,6,0
115,2017-01-01,rainy,10,0
116,2017-01-01,stormy,6,0
117,2017-01-01,cloudy,4,0
118,2017-01-01,stormy,1,0
119,2017-01-01,cloudy,0,0
120,2017-01-01,cloudy,9,0
121,2017-01-01,cloudy,3,0
122,2017-01-01,sunny,4,0
123,2017-01-01,rainy,3,0
124,2017-01-01,stormy,8,0
125,2017-01-01,cloudy,-1,0
126,2017-01-01,rainy,2,0
127,2017-01-01,rainy,1,0
128,2017-01-01,cloudy,3,0
129,2017-01-01,cloudy,5,0
130,2017-01-01,cloudy,3,0
131,2017-01-01,rainy,9,0
132,2017-01-01,sunny,5,0
133,2017-01-01,cloudy,4,0
134,2017-01-01,rainy,1,0
135,2017-01-01,stormy,3,0
136,2017-01-01,sunny,3,0
137,2017-01-01,sunny,5,0
138,2017-01-01,rainy,-3,0
139,2017-01-01,rainy,3,0
140,2017-01-01,cloudy,2,0
141,2017-01-01,cloudy,4,0
142,2017-01-01,cloudy,4,0
143,2017-01-01,cloudy,2,0
144,2017-01-01,sunny,5,0
145,2017-01-01,sunny,5,0
146,2017-01-01,rainy,6,0
147,2017-01-01,stormy,5,0
148,2017-01-01,sunny,10,0
149,2017-01-01,rainy,10,0
150,2017-01-01,stormy,6,0
151,2017-01-01,rainy,4,0
152,2017-01-01,cloudy,6,0
153,2017-01-01,stormy,7,0
154,2017-01-01,stormy,0,0
155,2017-01-01,stormy,7,0
156,2017-01-01,stormy,6,0
157,2017-01-01,cloudy,4,0
158,2017-01-01,sunny,6,0
159,2017-01-01,cloudy,8,0
160,2017-01-01,rainy,5,0
161,2017-01-01,stormy,0,0
162,2017-01-01,cloudy,9,0
163,2017-01-01,rainy,6,0
164,2017-01-01,rainy,4,0
165,2017-01-01,cloudy,8,0
166,2017-01-01,stormy,7,0
167,2017-01-01,rainy,4,0
168,2017-01-01,stormy,6,0
169,2017-01-01,rainy,5,0
170,2017-01-01,sunny,1,0
171,2017-01-01,rainy,4,0
172,2017-01-01,sunny,4,0
173,2017-01-01,rainy,10,0
174,2017-01-01,sunny,6,0
175,2017-01-01,cloudy,5,0
176,2017-01-01,rainy,11,0
177,2017-01-01,rainy,6,0
178,2017-01-01,rainy,4,0
179,2017-01-01,cloudy,8,0
180,2017-01-01,rainy,6,0
181,2017-01-01,stormy,2,0
182,2017-01-01,sunny,10,0
183,2017-01-01,cloudy,5,0
184,2017-01-01,rainy,4,0
185,2017-01-01,rainy,2,0
186,2017-01-01,sunny,8,0
187,2017-01-01,stormy,2,0
188,2017-01-01,rainy,4,0
189,2017-01-01,sunny,6,0
190,2017-01-01,rainy,10,0
191,2017-01-01,sunny,7,0
192,2017-01-01,sunny,7,0
193,2017-01-01,cloudy,1,0
194,2017-01-01,cloudy,6,0
195,2017-01-01,sunny,8,0
196,2017-01-01,sunny,8,0
197,2017-01-01,rainy,7,0
198,2017-01-01,sunny,5,0
199,2017-01-01,sunny,5,0
200,2017-01-01,rainy,8,0
201,2017-01-01,stormy,6,0
202,2017-01-01,rainy,9,0
203,2017-01-01,cloudy,5,0
204,2017-01-01,rainy,5,0
205,2017-01-01,rainy,13,0
206,2017-01-01,cloudy,7,0
207,2017-01-01,stormy,4,0
208,2017-01-01,rainy,5,0
209,2017-01-01,rainy,7,0
210,2017-01-01,stormy,4,0
211,2017-01-01,rainy,5,0
212,2017-01-01,cloudy,5,0
213,2017-01-01,stormy,4,0
214,2017-01-01,sunny,6,0
215,2017-01-01,cloudy,7,0
216,2017-01-01,cloudy,5,0
217,2017-01-01,cloudy,1,0
218,2017-01-01,rainy,3,0
219,2017-01-01,cloudy,7,0
220,2017-01-01,cloudy,6,0
221,2017-01-01,cloudy,1,0
222,2017-01-01,sunny,5,0
223,2017-01-01,cloudy,6,0
224,2017-01-01,rainy,5,0
225,2017-01-01,sunny,8,0
226,2017-01-01,rainy,4,0
227,2017-01-01,sunny,7,0
228,2017-01-01,rainy,2,0
229,2017-01-01,cloudy,-1,0
230,2017-01-01,rainy,7,0
231,2017-01-01,stormy,8,0
232,2017-01-01,cloudy,3,0
233,2017-01-01,cloudy,5,0
234,2017-01-01,stormy,3,0
235,2017-01-01,rainy,7,0
236,2017-01-01,sunny,4,0
237,2017-01-01,cloudy,10,0
238,2017-01-01,rainy,9,0
239,2017-01-01,cloudy,6,0
240,2017-01-01,rainy,10,0
241,2017-01-01,rainy,9,0
242,2017-01-01,stormy,4,0
243,2017-01-01,sunny,12,0
244,2017-01-01,cloudy,5,0
245,2017-01-01,sunny,9,0
246,2017-01-01,rainy,1,0
247,2017-01-01,stormy,7,0
248,2017-01-01,rainy,8,0
249,2017-01-01,cloudy,2,0
250,2017-01-01,stormy,7,0
251,2017-01-01,cloudy,2,0
252,2017-01-01,cloudy,6,0
253,2017-01-01,cloudy,4,0
254,2017-01-01,rainy,8,0
255,2017-01-01,rainy,7,0
256,2017-01-01,rainy,2,0
257,2017-01-01,sunny,6,0
258,2017-01-01,sunny,4,0
259,2017-01-01,stormy,-1,0
260,2017-01-01,cloudy,14,0
261,2017-01-01,sunny,8,0
262,2017-01-01,stormy,-3,0
263,2017-01-01,rainy,6,0
264,2017-01-01,rainy,7,0
265,2017-01-01,rainy,7,0
266,2017-01-01,rainy,6,0
267,2017-01-01,stormy,2,0
268,2017-01-01,stormy,7,0
269,2017-01-01,cloudy,7,0
270,2017-01-01,cloudy,12,0
271,2017-01-01,sunny,6,0
272,2017-01-01,sunny,7,0
273,2017-01-01,cloudy,2,0
274,2017-01-01,cloudy,8,0
275,2017-01-01,cloudy,5,0
276,2017-01-01,sunny,7,0
277,2017-01-01,stormy,2,0
278,2017-01-01,cloudy,2,0
279,2017-01-01,rainy,6,0
280,2017-01-01,cloudy,5,0
281,2017-01-01,rainy,-2,0
282,2017-01-01,rainy,2,0
283,2017-01-01,rainy,7,0
284,2017-01-01,rainy,5,0
285,2017-01-01,stormy,2,0
286,2017-01-01,cloudy,2,0
287,2017-01-01,cloudy,5,0
288,2017-01-01,rainy,0,0
289,2017-01-01,rainy,2,0
290,2017-01-01,rainy,6,0
291,2017-01-01,cloudy,2,0
292,2017-01-01,cloudy,1,0
293,2017-01-01,cloudy,11,0
